taxon_key,taxon_name,common_name,genus,species
600004,Engraulis ringens,Anchoveta,Engraulis,ringens
600066,Engraulis encrasicolus,European anchovy,Engraulis,encrasicolus
600107,Katsuwonus pelamis,Skipjack tuna,Katsuwonus,pelamis
600143,Thunnus albacares,Yellowfin tuna,Thunnus,albacares
600308,Gadus macrocephalus,Pacific cod,Gadus,macrocephalus
601659,Engraulis anchoita,Argentine anchovy,Engraulis,anchoita
601663,Engraulis japonicus,Japanese anchovy,Engraulis,japonicus
601664,Engraulis mordax,Californian anchovy,Engraulis,mordax
